,cx,cxROI,cy,cyROI
0,433,150,625,315
1,492,171,611,308
2,542,188,580,292
3,574,199,549,276
4,597,207,524,264
5,504,175,479,241
6,527,183,424,213
7,542,188,393,198
8,548,190,370,186
9,464,161,464,233
10,481,167,391,197
11,488,169,343,172
12,491,170,304,153
13,422,146,467,235
14,421,146,400,201
15,420,146,359,180
16,421,146,325,163
17,380,132,484,244
18,365,126,435,219
19,358,124,405,204
20,355,123,377,190
21,433,148,591,298
22,490,168,571,288
23,541,185,539,272
24,575,197,509,257
25,609,209,491,248
26,495,170,438,221
27,517,177,377,190
28,526,180,339,171
29,532,182,306,154
30,454,156,429,216
31,466,160,355,179
32,470,161,310,156
33,473,162,275,139
34,415,142,436,220
35,410,140,369,186
36,408,140,326,164
37,409,140,292,147
38,375,128,456,230
39,361,124,408,206
40,352,121,377,190
41,349,119,348,175
42,429,147,590,301
43,488,167,571,291
44,539,184,540,276
45,575,197,510,260
46,609,208,490,250
47,495,169,441,225
48,519,178,381,194
49,531,182,343,175
50,538,184,311,158
51,455,156,430,219
52,468,160,355,181
53,475,162,310,158
54,479,164,275,140
55,416,142,435,222
56,412,141,368,188
57,411,140,326,166
58,412,141,290,148
59,376,128,454,232
60,361,123,408,208
61,353,121,379,193
62,348,119,350,178
63,427,140,596,295
64,483,158,572,283
65,527,172,536,265
66,562,184,503,249
67,591,193,480,238
68,486,159,444,220
69,507,166,378,187
70,515,168,336,166
71,518,169,300,148
72,444,145,436,216
73,447,146,356,176
74,448,147,310,153
75,445,146,272,134
76,405,132,444,220
77,396,129,376,186
78,391,128,334,165
79,386,126,299,148
80,369,121,464,230
81,354,116,417,206
82,344,112,386,191
83,337,110,358,177
84,428,138,588,377
85,482,156,564,361
86,526,170,528,338
87,552,178,491,315
88,574,186,465,298
89,484,156,439,281
90,502,162,374,239
91,508,164,332,213
92,511,165,297,190
93,441,142,432,277
94,439,142,359,230
95,437,141,316,202
96,434,140,282,180
97,401,130,441,282
98,387,125,379,243
99,378,122,338,216
100,372,120,303,194
101,365,118,464,297
102,340,110,423,271
103,324,105,397,254
104,312,101,372,238
105,435,121,579,178
106,486,135,552,170
107,526,147,510,157
108,544,152,470,144
109,540,151,435,134
110,500,139,430,132
111,511,142,376,115
112,514,143,345,106
113,514,143,315,97
114,461,128,428,131
115,459,128,371,114
116,471,131,404,124
117,479,133,435,134
118,422,118,436,134
119,417,116,380,117
120,435,121,413,127
121,446,124,445,137
122,383,107,453,139
123,375,104,412,127
124,393,109,429,132
125,405,113,451,139
126,434,94,567,174
127,484,105,535,164
128,525,114,484,149
129,543,118,437,134
130,512,112,428,131
131,482,105,411,126
132,500,109,373,115
133,513,112,373,115
134,516,112,372,114
135,445,97,413,127
136,475,103,402,123
137,480,105,451,139
138,470,102,466,143
139,412,90,424,130
140,445,97,426,131
141,451,98,468,144
142,443,96,480,148
143,381,83,442,136
144,410,89,441,135
145,422,92,470,144
146,418,91,480,148
147,433,98,562,173
148,482,109,528,162
149,525,119,476,146
150,538,122,431,132
151,506,115,423,130
152,479,108,395,121
153,506,115,376,115
154,514,116,400,123
155,510,115,411,126
156,440,100,395,121
157,474,107,409,126
158,480,109,453,139
159,470,106,465,143
160,406,92,410,126
161,443,100,433,133
162,451,102,471,145
163,442,100,481,148
164,375,85,433,133
165,412,93,448,138
166,425,96,476,146
167,422,95,486,149
168,426,91,551,169
169,474,101,524,161
170,519,111,476,146
171,531,114,430,132
172,497,106,416,128
173,483,103,400,123
174,506,108,374,115
175,516,110,377,116
176,516,110,374,115
177,443,95,394,121
178,470,100,402,123
179,474,101,449,138
180,463,99,458,141
181,408,87,404,124
182,437,93,428,131
183,444,95,466,143
184,434,93,471,145
185,377,80,423,130
186,408,87,448,138
187,419,90,473,145
188,414,88,476,146
189,435,92,551,169
190,478,101,524,161
191,521,110,473,145
192,530,112,429,132
193,496,105,421,129
194,489,103,403,124
195,506,107,377,116
196,512,108,376,115
197,509,108,374,115
198,449,95,397,122
199,469,99,405,124
200,474,100,450,138
201,465,98,458,141
202,414,87,407,125
203,437,92,431,132
204,442,93,469,144
205,434,92,471,145
206,381,80,425,131
207,406,86,451,139
208,414,87,477,147
209,407,86,476,146
210,424,89,558,172
211,470,98,534,164
212,515,108,486,149
213,525,110,441,135
214,490,102,429,132
215,488,102,413,127
216,500,105,391,120
217,503,105,387,119
218,498,104,380,117
219,445,93,404,124
220,459,96,416,128
221,463,97,463,142
222,457,96,469,144
223,408,85,413,127
224,424,89,442,136
225,432,90,482,148
226,426,89,481,148
227,371,77,430,132
228,391,82,459,141
229,402,84,487,150
230,401,84,487,150
231,424,87,558,172
232,468,96,537,165
233,515,106,485,149
234,524,108,441,135
235,488,100,436,134
236,483,99,418,128
237,494,101,392,120
238,499,102,389,119
239,497,102,386,119
240,442,91,413,127
241,455,93,416,128
242,464,95,464,143
243,459,94,470,144
244,405,83,422,130
245,422,87,439,135
246,432,89,481,148
247,426,87,484,149
248,370,76,437,134
249,392,80,456,140
250,403,83,486,149
251,399,82,488,150
252,417,85,565,174
253,463,94,547,168
254,510,103,494,152
255,521,106,447,137
256,485,98,437,134
257,479,97,428,131
258,489,99,403,124
259,493,100,396,122
260,491,100,387,119
261,438,89,419,129
262,452,92,422,130
263,461,94,467,143
264,457,93,474,146
265,402,81,425,131
266,421,85,446,137
267,430,87,487,150
268,425,86,490,151
269,369,75,439,135
270,394,80,464,143
271,403,82,493,152
272,398,81,494,152
273,419,93,566,174
274,467,104,543,167
275,512,114,489,150
276,517,115,446,137
277,482,107,445,137
278,479,107,428,131
279,490,109,404,124
280,495,110,397,122
281,493,110,385,118
282,436,97,419,129
283,448,100,430,132
284,457,102,477,147
285,451,100,480,148
286,398,88,426,131
287,416,92,457,140
288,426,95,497,153
289,420,93,494,152
290,365,81,442,136
291,386,86,477,147
292,396,88,504,155
293,389,86,500,154
294,427,87,560,172
295,470,96,537,165
296,514,105,486,149
297,517,106,445,137
298,480,98,439,135
299,477,98,421,129
300,493,101,399,123
301,498,102,391,120
302,495,101,377,116
303,433,88,414,127
304,447,91,422,130
305,457,93,469,144
306,453,93,474,146
307,394,80,427,131
308,413,84,448,138
309,425,87,489,150
310,419,86,489,150
311,359,73,448,138
312,379,77,467,143
313,393,80,495,152
314,389,79,494,152
315,429,86,560,172
316,473,95,538,165
317,518,104,489,150
318,522,105,445,137
319,487,98,434,133
320,485,98,425,131
321,496,100,402,123
322,499,100,389,119
323,499,100,369,113
324,442,89,418,128
325,450,91,418,128
326,460,93,467,143
327,458,92,474,146
328,404,81,428,131
329,413,83,440,135
330,426,86,483,148
331,425,85,488,150
332,367,74,448,138
333,378,76,459,141
334,396,80,488,150
335,399,80,492,151
336,427,93,561,172
337,467,102,540,166
338,513,112,488,150
339,519,113,444,136
340,484,106,435,134
341,482,105,431,132
342,495,108,404,124
343,499,109,389,119
344,498,109,367,113
345,440,96,426,131
346,448,98,412,127
347,459,100,463,142
348,457,100,475,146
349,400,87,436,134
350,411,90,435,134
351,427,93,481,148
352,425,93,490,151
353,362,79,455,140
354,378,82,455,140
355,395,86,486,149
356,397,87,493,152
357,419,91,557,171
358,462,100,537,165
359,508,110,491,151
360,513,111,448,138
361,477,103,440,135
362,475,103,431,132
363,487,106,402,123
364,492,107,385,118
365,492,107,365,112
366,434,94,425,131
367,439,95,416,128
368,448,97,464,143
369,448,97,481,148
370,396,86,434,133
371,399,86,436,134
372,414,90,481,148
373,417,90,494,152
374,358,78,453,139
375,365,79,454,139
376,383,83,486,149
377,391,85,496,152
378,414,90,558,172
379,456,99,543,167
380,501,109,495,152
381,505,110,450,138
382,468,102,437,134
383,473,103,437,134
384,483,105,402,123
385,486,106,384,118
386,484,105,359,110
387,431,94,428,131
388,445,97,424,130
389,452,98,476,146
390,447,97,482,148
391,394,86,435,134
392,408,89,443,136
393,419,91,490,151
394,414,90,495,152
395,356,77,449,138
396,376,82,461,142
397,390,85,494,152
398,388,84,499,153
399,413,92,570,175
400,458,102,552,170
401,500,112,502,154
402,502,112,457,140
403,465,104,443,136
404,468,104,444,136
405,481,107,407,125
406,486,108,385,118
407,487,109,358,110
408,428,95,437,134
409,441,98,425,131
410,447,100,477,147
411,442,99,493,152
412,391,87,445,137
413,403,90,448,138
414,415,93,494,152
415,412,92,504,155
416,352,78,463,142
417,368,82,470,144
418,384,86,501,154
419,385,86,508,156
420,412,93,573,176
421,458,104,550,169
422,500,113,501,154
423,504,114,457,140
424,469,106,447,137
425,469,106,443,136
426,482,109,406,125
427,487,110,384,118
428,488,110,359,110
429,428,97,435,134
430,442,100,427,131
431,447,101,476,146
432,443,100,497,153
433,389,88,445,137
434,402,91,449,138
435,413,93,494,152
436,413,93,507,156
437,351,79,465,143
438,364,82,467,143
439,383,87,497,153
440,389,88,508,156
441,414,109,578,178
442,458,121,556,171
443,503,133,506,156
444,504,133,463,142
445,467,123,450,138
446,469,124,442,136
447,483,127,408,125
448,488,129,390,120
449,487,128,363,111
450,426,112,433,133
451,443,117,437,134
452,450,119,489,150
453,444,117,494,152
454,388,102,444,136
455,405,107,461,142
456,416,110,506,156
457,411,108,506,156
458,351,92,464,143
459,371,98,486,149
460,386,102,515,158
461,384,101,515,158
462,407,93,577,177
463,453,103,554,170
464,496,113,506,156
465,501,114,463,142
466,467,106,450,138
467,465,106,446,137
468,480,109,408,125
469,486,111,386,119
470,487,111,361,111
471,424,97,438,135
472,442,101,434,133
473,449,102,482,148
474,443,101,497,153
475,387,88,447,137
476,406,92,456,140
477,417,95,499,153
478,413,94,507,156
479,350,80,465,143
480,371,84,473,145
481,387,88,503,155
482,387,88,511,157
483,408,93,579,178
484,456,104,555,171
485,498,113,505,155
486,502,114,461,142
487,466,106,453,139
488,466,106,448,138
489,480,109,410,126
490,484,110,389,119
491,485,111,363,111
492,425,97,441,135
493,441,100,434,133
494,447,102,483,148
495,442,101,496,152
496,387,88,450,138
497,400,91,450,138
498,412,94,496,152
499,410,93,506,156
500,349,79,468,144
501,364,83,466,143
502,382,87,498,153
503,385,88,509,156
504,411,94,578,178
505,458,105,555,171
506,499,114,503,155
507,501,115,461,142
508,467,107,453,139
509,467,107,443,136
510,480,110,408,125
511,486,111,389,119
512,486,111,365,112
513,425,97,435,134
514,441,101,433,133
515,448,102,482,148
516,443,101,497,153
517,386,88,445,137
518,404,92,460,141
519,415,95,503,155
520,411,94,509,156
521,350,80,464,143
522,370,84,479,147
523,385,88,509,156
524,384,88,512,157
525,414,109,580,178
526,457,120,555,171
527,499,131,509,156
528,503,132,466,143
529,469,123,452,139
530,468,123,445,137
531,480,126,412,127
532,485,128,392,120
533,486,128,366,112
534,426,112,436,134
535,445,117,440,135
536,450,118,486,149
537,443,116,499,153
538,388,102,445,137
539,409,108,465,143
540,417,110,505,155
541,411,108,511,157
542,352,92,464,143
543,373,98,481,148
544,388,102,509,156
545,388,102,513,158
546,412,109,581,179
547,455,120,560,172
548,498,131,511,157
549,503,133,466,143
550,467,123,452,139
551,467,123,448,138
552,480,127,412,127
553,485,128,392,120
554,485,128,366,112
555,425,112,440,135
556,441,116,434,133
557,448,118,485,149
558,441,116,495,152
559,387,102,449,138
560,404,106,456,140
561,416,110,501,154
562,411,108,506,156
563,349,92,467,143
564,368,97,474,146
565,385,101,505,155
566,384,101,510,157
567,414,109,583,179
568,456,121,559,172
569,497,132,510,157
570,502,133,467,143
571,468,124,455,140
572,467,124,446,137
573,481,127,412,127
