,cx,cxROI,cy,cyROI
0,383,37,317,149
1,406,39,327,153
2,437,42,324,152
3,454,43,310,145
4,461,44,295,138
5,451,43,282,132
6,469,45,279,131
7,486,47,274,129
8,500,48,269,126
9,442,42,268,126
10,467,45,267,125
11,486,47,265,124
12,502,48,264,124
13,429,41,258,121
14,453,43,275,129
15,437,42,295,138
16,422,40,309,145
17,412,39,255,120
18,433,41,274,129
19,420,40,292,137
20,406,39,303,142
21,383,57,317,152
22,402,60,332,160
23,432,65,334,160
24,451,68,331,159
25,463,69,326,157
26,459,69,288,138
27,487,73,277,133
28,508,76,266,128
29,525,79,256,123
30,449,67,272,131
31,483,72,263,126
32,509,76,256,123
33,529,79,248,119
34,434,65,261,125
35,458,69,274,132
36,441,66,296,142
37,425,64,307,147
38,414,62,256,123
39,433,65,277,133
40,420,63,295,142
41,407,61,303,146
42,369,56,307,149
43,394,60,320,156
44,430,65,321,156
45,455,69,327,159
46,474,72,333,162
47,449,68,274,133
48,478,73,253,123
49,498,76,235,114
50,514,78,219,106
51,436,66,260,126
52,461,70,247,120
53,468,71,248,120
54,474,72,244,118
55,418,64,250,121
56,435,66,252,122
57,424,64,272,132
58,414,63,281,136
59,396,60,244,118
60,411,62,250,121
61,403,61,266,129
62,395,60,273,133
63,360,57,303,144
64,391,62,314,150
65,431,68,316,150
66,460,72,324,154
67,482,76,332,158
68,442,70,264,126
69,466,73,241,115
70,484,76,224,107
71,498,78,212,101
72,427,67,250,119
73,452,71,229,109
74,465,73,224,107
75,475,75,219,104
76,408,64,239,114
77,428,67,230,109
78,422,66,250,119
79,414,65,267,127
80,386,61,234,111
81,403,63,231,110
82,399,63,248,118
83,392,62,262,125
84,333,53,289,138
85,369,58,297,141
86,406,64,289,138
87,435,69,280,133
88,455,72,285,136
89,397,63,245,117
90,421,67,209,99
91,438,69,187,89
92,450,71,171,81
93,387,61,234,111
94,410,65,195,93
95,426,67,174,83
96,438,69,158,75
97,377,60,227,108
98,397,63,195,93
99,410,65,178,85
100,420,66,166,79
101,367,58,226,107
102,380,60,198,94
103,387,61,185,88
104,394,62,175,83
105,311,64,283,139
106,353,73,288,142
107,392,81,277,136
108,421,87,271,133
109,445,92,275,135
110,385,79,218,107
111,411,85,192,94
112,426,88,175,86
113,439,90,160,79
114,366,75,207,102
115,391,80,176,87
116,408,84,157,77
117,421,87,142,70
118,345,71,204,100
119,362,74,171,84
120,373,77,151,74
121,383,79,135,66
122,322,66,208,102
123,326,67,183,90
124,326,67,165,81
125,329,68,150,74
126,309,62,285,140
127,350,71,286,140
128,388,78,275,135
129,418,84,269,132
130,441,89,271,133
131,378,76,212,104
132,403,81,183,89
133,416,84,164,80
134,427,86,149,73
135,358,72,200,98
136,382,77,167,82
137,397,80,147,72
138,409,83,131,64
139,336,68,197,96
140,352,71,162,79
141,363,73,142,69
142,373,75,127,62
143,311,63,201,98
144,311,63,172,84
145,313,63,153,75
146,316,64,136,66
