,cx,cxROI,cy,cyROI
0,299,70,479,323
1,321,75,423,286
2,365,85,386,261
3,407,95,377,254
4,441,103,383,259
5,389,91,348,235
6,433,101,303,204
7,469,109,285,192
8,499,116,277,187
9,401,93,373,252
10,481,112,369,249
11,529,123,373,252
12,564,132,377,254
13,408,95,406,274
14,465,108,423,286
15,443,103,436,294
16,421,98,438,296
17,411,96,442,298
18,453,106,456,308
19,433,101,464,313
20,413,96,462,312
21,298,68,478,300
22,320,73,424,266
23,367,84,388,244
24,410,94,382,240
25,442,101,388,244
26,393,90,349,219
27,439,100,308,193
28,472,108,289,181
29,500,114,279,175
30,402,92,374,235
31,482,110,371,233
32,529,121,375,235
33,565,129,378,237
34,407,93,407,256
35,463,106,426,268
36,441,101,438,275
37,420,96,439,276
38,409,93,443,278
39,453,104,457,287
40,433,99,465,292
41,413,94,463,291
42,300,70,479,322
43,322,75,424,285
44,366,85,386,260
45,408,95,377,253
46,442,103,382,257
47,390,91,348,234
48,434,101,304,204
49,468,109,286,192
50,496,115,277,186
51,400,93,373,251
52,481,112,370,249
53,528,123,375,252
54,563,131,379,255
55,407,95,405,272
56,462,107,425,286
57,441,103,437,294
58,419,97,439,295
59,410,95,442,297
60,453,105,456,307
61,432,100,465,313
62,412,96,463,311
63,295,66,482,328
64,316,71,427,291
65,362,82,391,266
66,405,91,384,261
67,437,99,391,266
68,391,88,352,240
69,440,99,316,215
70,473,107,298,203
71,500,113,284,193
72,402,91,376,256
73,482,109,372,253
74,528,119,378,257
75,564,127,381,259
76,408,92,407,277
77,463,104,428,291
78,441,99,441,300
79,419,94,442,301
80,411,93,443,302
81,453,102,459,313
82,432,97,467,318
83,411,93,465,317
84,300,70,479,321
85,322,75,423,284
86,366,86,387,260
87,407,95,377,253
88,440,103,381,256
89,389,91,348,233
90,432,101,302,203
91,469,110,287,192
92,499,117,283,190
93,400,94,373,250
94,481,113,371,249
95,528,124,376,252
96,562,132,381,256
97,406,95,406,272
98,464,109,426,286
99,444,104,439,295
100,422,99,440,295
101,410,96,442,297
102,453,106,457,307
103,433,101,466,313
104,413,97,464,311
105,295,68,479,301
106,318,73,425,267
107,365,84,389,244
108,407,94,382,240
109,439,101,389,244
110,391,90,350,220
111,434,100,306,192
112,470,109,290,182
113,500,116,284,178
114,402,93,376,236
115,479,111,371,233
116,526,122,375,235
117,562,130,379,238
118,406,94,409,257
119,463,107,427,268
120,441,102,439,276
121,419,97,440,276
122,408,94,445,279
123,452,104,459,288
124,431,100,466,293
125,410,95,464,291
126,297,69,482,326
127,318,74,427,289
128,362,84,390,264
129,405,94,380,257
130,438,101,384,260
131,388,90,352,238
132,433,100,308,208
133,469,109,290,196
134,498,115,281,190
135,399,92,375,254
136,479,111,372,252
137,527,122,377,255
138,563,131,382,258
139,405,94,405,274
140,463,107,428,290
141,442,102,441,298
142,421,98,442,299
143,409,95,440,298
144,452,105,458,310
145,431,100,467,316
146,411,95,464,314
147,295,69,480,326
148,318,74,426,289
149,364,85,390,265
150,406,95,381,259
151,439,102,385,262
152,389,91,351,238
153,432,101,304,206
154,469,109,288,196
155,499,116,282,191
156,399,93,376,255
157,479,112,372,253
158,527,123,377,256
159,563,131,381,259
