,cx,cxROI,cy,cyROI
0,482,96,285,87
1,513,102,265,81
2,533,106,239,73
3,549,109,219,67
4,559,111,200,61
5,495,99,209,64
6,494,98,181,55
7,504,100,164,50
8,513,102,153,47
9,484,96,209,64
10,504,100,190,58
11,513,102,215,66
12,506,101,229,70
13,471,94,210,64
14,494,98,196,60
15,499,99,222,68
16,489,97,234,72
17,455,91,214,65
18,478,95,199,61
19,485,97,217,66
20,476,95,228,70
21,487,76,283,87
22,518,81,268,82
23,541,84,245,75
24,560,87,225,69
25,572,89,206,63
26,509,79,207,63
27,511,80,177,54
28,524,82,161,49
29,537,84,152,46
30,497,78,206,63
31,522,81,189,58
32,524,82,218,67
33,513,80,230,70
34,483,75,206,63
35,510,80,197,60
36,511,80,224,69
37,498,78,234,72
38,468,73,209,64
39,493,77,200,61
40,497,78,218,67
41,486,76,227,69
42,500,74,283,87
43,530,78,271,83
44,556,82,249,76
45,578,85,233,71
46,595,88,217,66
47,530,78,206,63
48,541,80,178,54
49,558,82,164,50
50,573,85,155,47
51,517,76,203,62
52,548,81,191,58
53,547,81,220,67
54,534,79,232,71
55,503,74,202,62
56,534,79,199,61
57,531,78,226,69
58,517,76,234,72
59,488,72,204,62
60,517,76,202,62
61,518,76,222,68
62,506,75,230,70
63,511,79,283,131
64,546,84,279,129
65,577,89,263,122
66,603,93,255,118
67,624,97,246,114
68,563,87,208,96
69,584,90,182,84
70,603,93,174,80
71,621,96,171,79
72,549,85,201,93
73,587,91,204,94
74,577,89,234,108
75,562,87,240,111
76,536,83,199,92
77,571,88,214,99
78,560,87,240,111
79,545,84,242,112
80,523,81,202,93
81,552,85,216,100
82,546,84,236,109
83,532,82,238,110
84,515,79,286,133
85,549,84,282,131
86,583,89,267,124
87,609,93,259,121
88,630,96,254,118
89,576,88,213,99
90,596,91,187,87
91,616,94,181,84
92,633,97,182,85
93,561,86,206,96
94,595,91,211,98
95,583,89,239,111
96,568,87,246,115
97,546,84,205,95
98,577,88,218,102
99,564,86,243,113
100,550,84,245,114
101,529,81,208,97
102,558,85,219,102
103,551,84,238,111
104,538,82,240,112
105,522,77,287,134
106,557,83,287,134
107,592,88,276,129
108,617,92,272,127
109,637,95,269,125
110,592,88,220,102
111,614,91,196,91
112,633,94,196,91
113,648,96,204,95
114,576,85,211,98
115,608,90,223,104
116,593,88,249,116
117,580,86,253,118
118,560,83,209,97
119,589,87,228,106
120,574,85,251,117
121,561,83,251,117
122,543,81,213,99
123,569,84,228,106
124,560,83,246,115
125,548,81,246,115
126,519,82,293,139
127,557,88,297,141
128,594,94,291,138
129,620,98,293,139
130,640,101,298,141
131,600,95,232,110
132,628,99,214,101
133,648,102,219,104
134,662,104,231,110
135,585,92,222,105
136,617,97,246,117
137,600,95,268,127
138,586,92,268,127
139,569,90,221,105
140,598,94,251,119
141,581,92,269,128
142,568,90,265,126
143,554,87,226,107
144,577,91,252,120
145,565,89,265,126
146,552,87,261,124
147,523,81,296,139
148,561,87,301,142
149,596,93,296,139
150,621,97,298,140
151,641,100,302,142
152,602,94,237,111
153,629,98,220,103
154,650,101,222,104
155,664,103,230,108
156,588,91,226,106
157,617,96,252,119
158,600,93,275,129
159,585,91,275,129
160,572,89,225,106
161,597,93,257,121
162,579,90,276,130
163,567,88,272,128
164,555,86,230,108
165,576,90,256,120
166,565,88,270,127
167,553,86,266,125
168,517,80,299,143
169,558,86,303,145
170,593,92,297,142
171,619,96,300,143
172,640,99,305,146
173,599,93,241,115
174,628,97,224,107
175,649,100,227,108
176,663,103,236,113
177,585,90,230,110
178,617,95,257,123
179,597,92,278,133
180,582,90,278,133
181,569,88,229,109
182,596,92,262,125
183,576,89,280,134
184,564,87,275,131
185,553,85,234,112
186,575,89,260,124
187,562,87,274,131
188,551,85,270,129
189,517,81,300,142
190,556,87,304,143
191,590,92,299,141
192,615,96,301,142
193,636,99,305,144
194,598,93,242,114
195,627,98,223,105
196,648,101,226,107
197,662,103,236,111
198,583,91,231,109
199,614,96,257,121
200,596,93,280,132
201,581,91,281,133
202,567,89,230,108
203,593,93,262,124
204,574,90,280,132
205,562,88,276,130
206,550,86,234,110
207,572,89,260,123
208,560,87,274,129
209,548,86,270,127
210,513,81,305,145
211,551,87,309,147
212,587,93,303,144
213,613,97,305,145
214,634,100,308,146
215,595,94,245,116
216,624,98,226,107
217,644,102,231,110
218,657,104,241,114
219,582,92,234,111
220,611,96,262,124
221,591,93,283,134
222,576,91,282,134
223,566,89,233,110
224,591,93,266,126
225,572,90,284,135
226,560,88,279,132
227,549,87,238,113
228,570,90,263,125
229,558,88,278,132
230,547,86,275,131
231,509,78,304,146
232,552,85,309,148
233,586,90,304,146
234,612,94,306,147
235,634,98,311,149
236,593,91,247,119
237,623,96,230,110
238,644,99,234,112
239,657,101,244,117
240,578,89,237,114
241,610,94,262,126
242,591,91,285,137
243,576,89,284,136
244,562,86,236,113
245,588,90,267,128
246,569,88,286,137
247,557,86,281,135
248,545,84,242,116
249,567,87,266,128
250,555,85,280,134
251,543,83,275,132
252,507,78,307,147
253,550,85,311,149
254,584,90,308,148
255,610,94,311,149
256,632,98,314,151
257,592,92,250,120
258,621,96,232,111
259,641,99,237,114
260,654,101,248,119
261,577,89,239,115
262,607,94,267,128
263,587,91,288,138
264,572,88,286,137
265,560,87,239,115
266,585,90,271,130
267,566,87,290,139
268,555,86,285,137
269,543,84,244,117
270,565,87,269,129
271,552,85,283,136
272,541,84,279,134
273,503,77,307,148
274,549,84,312,151
275,581,89,308,149
276,607,93,311,150
277,630,97,315,152
278,586,90,250,121
279,618,95,233,112
280,639,98,238,115
281,653,101,248,120
282,572,88,242,117
283,606,93,266,128
284,585,90,288,139
285,569,88,286,138
286,556,86,242,117
287,585,90,271,131
288,565,87,291,141
289,553,85,285,138
290,541,83,248,120
291,564,87,270,130
292,551,85,284,137
293,538,83,279,135
294,505,79,311,149
295,545,86,314,150
296,579,91,309,148
297,605,95,312,149
298,628,99,316,151
299,587,92,251,120
300,618,97,233,111
301,639,100,237,113
302,653,103,248,118
303,572,90,241,115
304,605,95,268,128
305,586,92,290,138
306,570,89,289,138
307,556,87,240,115
308,583,92,273,130
309,564,89,291,139
310,551,86,286,137
311,540,85,246,117
312,563,88,271,129
313,551,86,286,137
314,539,85,282,135
315,501,77,310,150
316,546,84,315,152
317,580,90,310,150
318,606,94,312,151
319,628,97,317,153
320,586,91,251,121
321,616,95,235,113
322,637,99,239,115
323,651,101,249,120
324,572,88,242,117
325,604,93,268,129
326,584,90,289,140
327,569,88,287,139
328,556,86,242,117
329,582,90,274,132
330,563,87,292,141
331,551,85,286,138
