,cx,cxROI,cy,cyROI
0,366,91,362,179
1,413,102,355,176
2,462,115,332,164
3,501,124,317,157
4,534,133,310,153
5,431,107,245,121
6,445,110,197,97
7,452,112,167,82
8,457,113,144,71
9,396,98,233,115
10,405,100,177,87
11,411,102,142,70
12,417,103,115,57
13,363,90,235,116
14,365,90,180,89
15,368,91,147,72
16,371,92,120,59
17,331,82,250,123
18,318,79,209,103
19,309,77,182,90
20,302,75,158,78
21,395,102,365,184
22,446,115,352,177
23,495,128,324,163
24,536,139,311,156
25,570,147,307,154
26,465,120,236,118
27,483,125,186,93
28,491,127,157,79
29,496,128,131,66
30,433,112,226,113
31,444,115,167,84
32,452,117,132,66
33,458,118,105,52
34,402,104,228,114
35,402,104,173,87
36,406,105,141,71
37,410,106,116,58
38,371,96,241,121
39,359,93,198,99
40,352,91,172,86
41,348,90,147,74
42,399,103,365,181
43,448,116,351,174
44,494,128,324,161
45,535,139,309,153
46,568,147,306,152
47,466,121,237,117
48,483,125,187,92
49,489,127,156,77
50,493,128,130,64
51,433,112,227,112
52,442,114,168,83
53,447,116,132,65
54,450,117,102,50
55,402,104,230,114
56,400,104,176,87
57,400,104,144,71
58,400,104,118,58
59,373,97,245,121
60,360,93,204,101
61,351,91,178,88
62,345,89,153,76
63,375,100,377,184
64,420,112,358,175
65,465,124,328,160
66,505,135,314,153
67,538,144,315,154
68,438,117,242,118
69,452,121,191,93
70,454,122,157,76
71,455,122,130,63
72,404,108,239,116
73,392,105,180,88
74,383,102,179,87
75,378,101,192,93
76,373,100,245,119
77,363,97,196,95
78,358,96,198,96
79,356,95,212,103
80,344,92,261,127
81,331,88,223,109
82,329,88,211,103
83,331,88,210,102
84,361,95,375,176
85,401,105,360,169
86,440,116,332,156
87,478,126,320,150
88,513,135,322,151
89,428,113,248,116
90,436,115,195,91
91,431,113,161,75
92,426,112,134,63
93,391,103,248,116
94,370,97,208,97
95,365,96,248,116
96,371,97,280,131
97,357,94,257,121
98,337,88,228,107
99,338,89,266,125
100,345,91,294,138
101,331,87,271,127
102,313,82,248,116
103,315,83,276,129
104,324,85,297,139
105,363,95,374,175
106,404,106,361,168
107,443,116,335,156
108,478,125,321,150
109,511,134,322,150
110,427,112,252,117
111,435,114,197,92
