,cx,cxROI,cy,cyROI
0,282,80,564,267
1,345,98,546,258
2,401,114,492,233
3,429,122,435,206
4,426,121,388,183
5,379,108,423,200
6,397,113,369,174
7,389,110,387,183
8,376,107,421,199
9,341,97,411,194
10,354,100,351,166
11,349,99,378,179
12,339,96,419,198
13,303,86,406,192
14,307,87,344,162
15,311,88,360,170
16,313,89,390,184
17,263,74,410,194
18,260,74,357,169
19,262,74,323,152
20,269,76,296,140
21,268,85,502,241
22,340,108,460,221
23,392,125,397,190
24,418,133,340,163
25,404,129,294,141
26,372,118,347,166
27,387,123,299,143
28,383,122,298,143
29,373,119,313,150
30,337,107,334,160
31,354,113,279,134
32,347,110,292,140
33,336,107,321,154
34,303,96,327,157
35,312,99,275,132
36,314,100,276,132
37,312,99,293,140
38,266,84,328,157
39,269,85,278,133
40,269,85,243,116
41,269,85,217,104
42,269,82,477,221
43,335,102,447,207
44,382,116,392,182
45,409,125,336,156
46,401,122,290,134
47,369,113,332,154
48,388,118,279,129
49,374,114,294,136
50,356,109,324,150
51,335,102,320,148
52,354,108,260,120
53,343,105,279,129
54,327,100,313,145
55,301,92,315,146
56,312,95,257,119
57,312,95,270,125
58,308,94,296,137
59,264,80,317,147
60,263,80,268,124
61,263,80,235,109
62,264,80,209,97
63,266,79,476,235
64,329,98,447,221
65,375,112,391,193
66,400,120,337,166
67,393,117,293,144
68,362,108,332,164
69,379,113,279,137
70,365,109,292,144
71,349,104,319,157
72,328,98,323,159
73,345,103,265,131
74,333,99,285,140
75,318,95,317,156
76,295,88,318,157
77,307,92,260,128
78,306,91,273,134
79,303,90,299,147
80,260,78,321,158
81,258,77,273,134
82,257,77,241,119
83,260,78,216,106
84,272,81,476,234
85,335,100,443,217
86,380,114,392,192
87,404,121,340,167
88,396,118,296,145
89,365,109,335,164
90,382,114,287,141
91,373,111,291,143
92,361,108,314,154
93,332,99,325,159
94,348,104,268,131
95,339,101,285,140
96,326,97,318,156
97,297,89,319,156
98,308,92,264,129
99,309,92,274,134
100,306,91,301,147
101,262,78,321,157
102,260,78,273,134
103,260,78,241,118
104,262,78,216,106
105,281,82,475,231
106,341,100,447,217
107,388,114,393,191
108,410,121,340,165
109,399,117,302,147
110,374,110,338,164
111,390,115,290,141
112,383,113,298,145
113,373,110,318,155
114,340,100,327,159
115,355,104,272,132
116,347,102,295,143
117,334,98,330,160
118,306,90,322,156
119,315,93,266,129
120,316,93,280,136
121,314,92,306,149
122,270,79,324,157
123,267,78,278,135
124,267,78,247,120
125,269,79,221,107
126,280,82,477,234
127,342,100,447,219
128,389,114,395,194
129,412,121,343,168
130,399,117,302,148
131,371,109,338,166
132,387,114,290,142
133,375,110,303,148
134,360,106,328,161
135,338,99,328,161
136,353,104,272,133
137,344,101,293,144
138,331,97,326,160
139,305,90,323,158
140,314,92,267,131
141,315,93,281,138
142,312,92,309,151
143,270,79,325,159
144,268,79,278,136
145,268,79,247,121
146,271,80,223,109
147,279,81,466,229
148,340,99,441,216
149,389,113,391,192
150,411,119,338,166
151,398,115,296,145
152,372,108,335,164
153,384,111,287,141
154,372,108,311,152
155,359,104,341,167
156,339,98,325,159
157,350,101,274,134
158,340,99,305,149
159,328,95,343,168
160,306,89,319,156
161,312,90,264,129
162,316,92,279,137
163,317,92,306,150
164,273,79,321,157
165,272,79,273,134
166,273,79,243,119
167,277,80,217,106
168,274,79,461,214
169,335,97,439,204
170,387,112,388,180
171,407,117,333,154
172,386,111,295,137
173,368,106,332,154
174,380,110,288,134
175,366,106,318,147
176,352,102,349,162
177,335,97,322,149
178,345,99,275,127
179,332,96,315,146
180,320,92,353,164
181,301,87,317,147
182,306,88,262,121
183,308,89,290,134
184,306,88,322,149
185,269,77,318,147
186,267,77,271,126
187,269,77,241,112
188,272,78,214,99
189,265,76,462,215
190,327,94,440,205
191,379,109,390,182
192,400,115,335,156
193,379,109,298,139
194,360,104,335,156
195,370,106,291,135
196,359,103,321,149
197,348,100,354,165
198,326,94,325,151
199,333,96,281,131
200,324,93,321,149
201,315,91,357,166
202,293,84,319,148
203,295,85,267,124
204,299,86,296,138
205,300,86,329,153
206,261,75,319,148
207,259,74,272,126
208,260,75,242,112
209,261,75,216,100
210,264,76,462,216
211,326,94,440,205
212,379,109,391,183
213,400,115,336,157
214,378,109,299,139
215,358,103,336,157
216,368,106,292,136
217,355,102,323,151
218,343,99,354,165
219,325,94,326,152
220,333,96,282,131
